Entry Time,Exit Time,Entry Price,Exit Price,direction,Signal Type,Exit Reason,PnL %,Direction
2025-01-01 06:10:00,2025-01-01 06:35:00,0.317,0.31735,1,MeanRev_Long,5-Bar Time Stop,0.05041009463722933,LONG
2025-01-01 08:15:00,2025-01-01 08:30:00,0.3161,0.31531,1,MeanRev_Long,Stall Filter (Bar 3),-0.30992091110408504,LONG
2025-01-01 08:45:00,2025-01-01 09:10:00,0.31438,0.31392,1,MeanRev_Long,5-Bar Time Stop,-0.20631974044150897,LONG
2025-01-01 09:20:00,2025-01-01 09:45:00,0.31224,0.31285,1,MeanRev_Long,5-Bar Time Stop,0.13536254163463984,LONG
2025-01-01 15:45:00,2025-01-01 16:10:00,0.31985,0.31929,-1,MeanRev_Short,5-Bar Time Stop,0.11508206972018287,SHORT
2025-01-02 00:00:00,2025-01-02 00:20:00,0.32499,0.32807740500000004,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000132,LONG
2025-01-02 00:30:00,2025-01-02 00:40:00,0.33573,0.3374086499999999,-1,MeanRev_Short,Stop Loss,-0.5599999999999846,SHORT
2025-01-02 00:45:00,2025-01-02 01:00:00,0.33655,0.3331845,-1,MeanRev_Short,TP2 Hit (Runner),0.9400000000000063,SHORT
2025-01-02 04:35:00,2025-01-02 04:45:00,0.334,0.33566999999999997,-1,MeanRev_Short,Stop Loss,-0.5599999999999848,SHORT
2025-01-02 07:15:00,2025-01-02 07:40:00,0.33299,0.33404,-1,MeanRev_Short,5-Bar Time Stop,-0.3753247845280625,SHORT
2025-01-02 08:25:00,2025-01-02 08:50:00,0.3352,0.33657,-1,MeanRev_Short,5-Bar Time Stop,-0.4687112171837656,SHORT
2025-01-02 09:25:00,2025-01-02 09:50:00,0.339,0.33825,-1,MeanRev_Short,5-Bar Time Stop,0.16123893805310574,SHORT
2025-01-02 16:00:00,2025-01-02 16:15:00,0.33494,0.33812193,1,MeanRev_Long,TP2 Hit (Runner),0.8899999999999998,LONG
2025-01-03 01:10:00,2025-01-03 01:35:00,0.33604,0.33683,1,MeanRev_Long,5-Bar Time Stop,0.1750910605880291,LONG
2025-01-03 01:50:00,2025-01-03 02:15:00,0.33917,0.34145,-1,MeanRev_Short,5-Bar Time Stop,-0.7322292655600284,SHORT
