timestamp,open,high,low,close,volume,atr,vwap,clv,zvol,entropy,rv,skew,kurt,regime,returns,vwap_upper,vwap_lower,price_vs_vwap_pct,long_vwap_ok,short_vwap_ok,long_clv_ok,short_clv_ok,volume_ok,long_signal,short_signal
2025-09-09 10:35:00,0.24112,0.24193,0.24112,0.24168,14880.0,,,0.3827160493827194,,,,,,Mean-reversion,,,,,False,False,False,False,False,False,False
2025-09-09 10:40:00,0.24168,0.24232,0.24153,0.24156,46185.0,,,-0.924050632911388,,,,,,Mean-reversion,-0.0004966476387161251,,,,False,False,True,False,False,False,False
2025-09-09 10:45:00,0.24156,0.24161,0.24114,0.2416,53479.0,,,0.9574468085107137,,,,,,Mean-reversion,0.00016557662095948987,,,,False,False,False,True,False,False,False
2025-09-09 10:50:00,0.2416,0.2416,0.24045,0.24086,66377.0,,,-0.28695652173914893,,,,,,Mean-reversion,-0.0030676142283261446,,,,False,False,False,False,False,False,False
2025-09-09 10:55:00,0.24086,0.24103,0.24072,0.24087,14338.0,,,-0.032258064516071265,,,,,,Mean-reversion,4.151703236844637e-05,,,,False,False,False,False,False,False,False
2025-09-09 11:00:00,0.24087,0.24123,0.24051,0.24123,19468.0,,,1.0,,,,,,Mean-reversion,0.001493466363465028,,,,False,False,False,True,False,False,False
2025-09-09 11:05:00,0.24123,0.24153,0.24112,0.24149,42727.0,,,0.8048780487805605,,,,,,Mean-reversion,0.0010772291396358438,,,,False,False,False,True,False,False,False
2025-09-09 11:10:00,0.24149,0.24168,0.24122,0.24125,19825.0,,,-0.8695652173912991,,,,,,Mean-reversion,-0.0009943241487078652,,,,False,False,True,False,False,False,False
2025-09-09 11:15:00,0.24125,0.24132,0.24085,0.24104,50986.0,,,-0.19148936170214273,,,,,,Mean-reversion,-0.000870845397049424,,,,False,False,False,False,False,False,False
2025-09-09 11:20:00,0.24104,0.24195,0.24101,0.24195,19592.0,,,1.0,,,,,,Mean-reversion,0.003768198417281824,,,,False,False,False,True,False,False,False
