Timestamp,DateTime,Open,High,Low,Close,Volume
1757414100000,2025-09-09 06:35:00,0.24112,0.24193,0.24112,0.24168,14880.0
1757414400000,2025-09-09 06:40:00,0.24168,0.24232,0.24153,0.24156,46185.0
1757414700000,2025-09-09 06:45:00,0.24156,0.24161,0.24114,0.2416,53479.0
1757415000000,2025-09-09 06:50:00,0.2416,0.2416,0.24045,0.24086,66377.0
1757415300000,2025-09-09 06:55:00,0.24086,0.24103,0.24072,0.24087,14338.0
1757415600000,2025-09-09 07:00:00,0.24087,0.24123,0.24051,0.24123,19468.0
1757415900000,2025-09-09 07:05:00,0.24123,0.24153,0.24112,0.24149,42727.0
1757416200000,2025-09-09 07:10:00,0.24149,0.24168,0.24122,0.24125,19825.0
1757416500000,2025-09-09 07:15:00,0.24125,0.24132,0.24085,0.24104,50986.0
1757416800000,2025-09-09 07:20:00,0.24104,0.24195,0.24101,0.24195,19592.0
1757417100000,2025-09-09 07:25:00,0.24195,0.24209,0.24167,0.24179,250050.0
1757417400000,2025-09-09 07:30:00,0.24179,0.24199,0.2413,0.2413,32813.0
1757417700000,2025-09-09 07:35:00,0.2413,0.24148,0.24108,0.24141,19238.0
1757418000000,2025-09-09 07:40:00,0.24141,0.24186,0.24124,0.24152,28507.0
1757418300000,2025-09-09 07:45:00,0.24152,0.24198,0.24151,0.24193,45536.0
1757418600000,2025-09-09 07:50:00,0.24193,0.24218,0.24168,0.24168,43316.0
1757418900000,2025-09-09 07:55:00,0.24168,0.24175,0.24142,0.24148,31268.0
1757419200000,2025-09-09 08:00:00,0.24148,0.24224,0.24092,0.24223,158649.0
1757419500000,2025-09-09 08:05:00,0.24223,0.2448,0.24221,0.24475,367594.0
1757419800000,2025-09-09 08:10:00,0.24475,0.24679,0.24475,0.2463,376370.0
1757420100000,2025-09-09 08:15:00,0.2463,0.2463,0.24516,0.24606,159905.0
1757420400000,2025-09-09 08:20:00,0.24606,0.24946,0.24595,0.24935,269842.0
1757420700000,2025-09-09 08:25:00,0.24935,0.24936,0.24754,0.24808,238355.0
1757421000000,2025-09-09 08:30:00,0.24808,0.24854,0.24569,0.24614,307076.0
1757421300000,2025-09-09 08:35:00,0.24614,0.24784,0.24578,0.2468,249227.0
1757421600000,2025-09-09 08:40:00,0.2468,0.24717,0.24447,0.24498,176148.0
1757421900000,2025-09-09 08:45:00,0.24498,0.24631,0.24496,0.24622,41957.0
1757422200000,2025-09-09 08:50:00,0.24622,0.24701,0.24594,0.24684,59686.0
1757422500000,2025-09-09 08:55:00,0.24684,0.24685,0.24553,0.2457,60499.0
1757422800000,2025-09-09 09:00:00,0.2457,0.24628,0.24446,0.24469,84265.0
